cz,czname,pop2000,fips,statename,stateabbrv,le_agg_slope_q1_F,le_raceadj_slope_q1_F,le_agg_slope_q2_F,le_raceadj_slope_q2_F,le_agg_slope_q3_F,le_raceadj_slope_q3_F,le_agg_slope_q4_F,le_raceadj_slope_q4_F,le_agg_slope_q1_M,le_raceadj_slope_q1_M,le_agg_slope_q2_M,le_raceadj_slope_q2_M,le_agg_slope_q3_M,le_raceadj_slope_q3_M,le_agg_slope_q4_M,le_raceadj_slope_q4_M,sd_le_agg_slope_q1_F,sd_le_raceadj_slope_q1_F,sd_le_agg_slope_q2_F,sd_le_raceadj_slope_q2_F,sd_le_agg_slope_q3_F,sd_le_raceadj_slope_q3_F,sd_le_agg_slope_q4_F,sd_le_raceadj_slope_q4_F,sd_le_agg_slope_q1_M,sd_le_raceadj_slope_q1_M,sd_le_agg_slope_q2_M,sd_le_raceadj_slope_q2_M,sd_le_agg_slope_q3_M,sd_le_raceadj_slope_q3_M,sd_le_agg_slope_q4_M,sd_le_raceadj_slope_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
5202,"Memphis",1154338,47,"Tennessee","TN",.0094941,.026206,.0575047,.0663099,-.0435627,-.0309157,.3613004,.353359,-.0195502,-.0069663,.1581719,.1771637,.378192,.3904569,-.0311489,-.0194807,.0887498,.0862353,.1099355,.1063772,.1369647,.1327796,.1394029,.1357684,.0685269,.0703003,.0961877,.0955746,.1172817,.1151249,.1410252,.1376694,752945,684527,553715,560059,634590,574014,519923,535730
5600,"Nashville",1246338,47,"Tennessee","TN",.0292995,.0422867,.2533881,.2521925,.3001339,.2915384,.2303768,.221985,.0961912,.1032403,-.0115848,-.0025868,.2200549,.2186228,.2857967,.2804951,.0939183,.0906515,.1025422,.0990545,.1128772,.1081531,.1331351,.1283445,.0680044,.0676061,.0918856,.0903347,.1070402,.1035515,.1209713,.1169196,671004,796139,782036,743531,663426,718215,744322,720402
6700,"Tampa",2395997,12,"Florida","FL",-.1720719,-.1759671,.1070166,.095734,-.0032606,-.0073018,-.1268129,-.1264563,-.1551076,-.1586721,-.2028825,-.2053707,.1716225,.1667894,.3580815,.3496665,.0616717,.0609583,.0827744,.0811599,.0978946,.0957556,.1154649,.1123199,.0470778,.0463342,.0698628,.0685958,.0885407,.0866396,.118062,.1151418,1602561,1539136,1259933,1112206,1589860,1367551,1167749,1087446
6800,"Lakeland",598228,12,"Florida","FL",-.0204859,-.0186795,.0000653,-.0004649,.0708476,.0609779,-.2345317,-.2318342,.056448,.0456725,-.0632972,-.0672418,.0779687,.0679754,-.3305708,-.327652,.1202459,.117571,.1391545,.1348321,.1802617,.1766168,.2330436,.2268733,.0904047,.0892178,.1345557,.131764,.1764101,.1729938,.2062283,.2027089,429875,365888,288843,177534,405632,361897,271605,161792
6900,"Sarasota",763795,12,"Florida","FL",-.0822921,-.0761351,.2519659,.2418017,.145346,.1364818,.1852739,.1765094,-.0903953,-.0890002,.0283055,.0282444,-.0035006,-.0068515,.1952758,.1896482,.0936806,.0896877,.1094793,.1047302,.1352243,.1312841,.1513431,.1450939,.0802771,.0782629,.1078356,.1045617,.1451887,.1418949,.1569149,.1515552,492471,485705,414837,361200,478697,430456,355543,316074
7000,"Miami",3955969,12,"Florida","FL",-.0680911,-.0577754,-.0095264,.0020552,.1439273,.1632397,.195293,.2105594,-.1037058,-.0838572,-.1779341,-.1673858,.0879938,.1017943,.410041,.4282248,.0446823,.0495927,.0719101,.0775365,.0865798,.0927132,.1004502,.105248,.0412838,.0417318,.0596766,.0603571,.0782916,.081318,.0838617,.0857004,3358466,2244837,1543933,1558377,3239108,2110443,1446384,1596432
7100,"Port St. Lucie",1533306,12,"Florida","FL",-.0103955,-.0114489,.0070395,.0011807,.1748403,.1656304,.2521726,.2391255,.0025774,-.0029497,.093884,.0844464,.1680006,.158323,.1274624,.1222071,.0767895,.0758723,.0968527,.095699,.1160061,.1134577,.1015907,.0981238,.0636312,.062848,.088064,.0866261,.114412,.1124814,.1183804,.1150872,998275,890693,756405,826247,989376,828217,694604,789771
7200,"Cape Coral",692265,12,"Florida","FL",-.1873042,-.190228,-.0012591,-.0096693,.2670148,.2507161,.1536937,.1466319,.0666041,.0534707,.186186,.1669179,-.077557,-.0773753,.2504565,.2460494,.1111247,.1082123,.1254835,.121662,.1516163,.1462105,.1664767,.1598076,.088494,.0866066,.1158417,.1132774,.1463766,.1421632,.1641938,.1587384,485337,451285,382216,380224,494722,425010,336711,332142
7400,"Orlando",1697906,12,"Florida","FL",-.0563951,-.0733384,.0230756,.0088035,.1835267,.1703909,.0405845,.0308778,.1930435,.1757944,.2330733,.2185894,.0966838,.0864807,.1487015,.1423199,.0693706,.0707896,.0881075,.0892428,.1243258,.1233256,.1308524,.1293547,.0644654,.0640289,.0861637,.0850902,.1077401,.107018,.1331016,.1313135,1280773,1123007,921650,833695,1203980,1049788,874721,828283
7600,"Jacksonville",1176696,12,"Florida","FL",.0696987,.0670254,.2793394,.2726924,.3439822,.3335816,.0724905,.0682209,-.0786238,-.0767056,.0579332,.0645851,.0203642,.025622,.2596959,.2595043,.0948143,.0929473,.1148604,.1121371,.1181249,.1159812,.1414682,.1379843,.0687198,.0685668,.0921194,.090297,.1130257,.110747,.1379588,.133943,742738,753047,723377,650269,690459,695068,704978,623658
8100,"Columbia",722201,45,"South Carolina","SC",.0498409,.0660188,.1373885,.1455174,-.0889938,-.0786534,.2225419,.2187762,.1980627,.2139934,.0547552,.071506,.4743431,.4766805,.0176897,.0240273,.1081612,.1050869,.1332629,.129266,.1544984,.1497217,.1889562,.1839646,.0849571,.0860398,.1205889,.1183354,.1397248,.1362996,.1629427,.1593241,494637,433376,387537,329955,406845,390546,366494,306750
8300,"Greenville",894291,45,"South Carolina","SC",.0042404,.0126531,.1739621,.1694144,.1786093,.1699845,.2366431,.2275033,.1662876,.1714325,.1420028,.1411407,.3437692,.3331416,.3086289,.3029609,.0965097,.0930665,.1160583,.1111348,.137931,.1327795,.1500072,.1456317,.0768256,.0765644,.1043116,.1017646,.1220497,.1186541,.1473793,.1443587,573746,536275,487812,394813,514863,515023,474290,374622
9100,"Atlanta",3798017,13,"Georgia","GA",.1166171,.1372519,.2671299,.2767464,.2702309,.2693219,.1006474,.0966719,.1216907,.1396202,.0983773,.1141778,.1874941,.1903508,.1976968,.19608,.0563754,.0549616,.0691551,.0677677,.0737726,.0725707,.0687403,.0679064,.0481095,.0484821,.0615367,.0603458,.068448,.0669995,.0695579,.0680369,2216191,2259321,2121527,2706688,2004180,1925579,1943071,2695935
10700,"Birmingham",1038182,1,"Alabama","AL",.3474268,.3726638,.0864666,.10539,.2085884,.2102566,-.2010767,-.1890177,.1701048,.201794,.0767353,.0930449,.1928328,.2001212,-.1097283,-.1026048,.093068,.0900012,.1134759,.1086846,.1237626,.118452,.1575917,.1527695,.0749099,.0748127,.0981016,.0956418,.1245017,.1207062,.138242,.1345501,608027,578772,528517,540673,507562,515686,506387,518080
10900,"Pensacola",623252,12,"Florida","FL",-.1490032,-.1462523,-.047756,-.0474376,.325548,.3133487,.284087,.2725207,-.1699957,-.1603002,-.1223113,-.1089198,.3623269,.3564537,.2455303,.2403958,.1197755,.117195,.1517935,.1476796,.1740251,.1699287,.1939264,.189241,.100633,.0994029,.1339484,.1317918,.1583111,.1545988,.1820058,.1761483,399595,360665,348497,273751,359206,353907,347123,257230
11001,"Mobile",599405,1,"Alabama","AL",.2903731,.3072448,.0091194,.0249579,-.0016641,.0079194,.4285553,.4128864,-.0206133,.0093011,-.0571164,-.0361872,.0685076,.0777995,.1609747,.1659873,.105867,.1023693,.1484981,.1435169,.1872522,.1814727,.2082746,.201368,.096265,.0963206,.1294811,.126671,.1509137,.1454287,.2030672,.198748,444309,320466,286607,225000,349004,325900,289976,213248
11302,"Baltimore",2512431,24,"Maryland","MD",.0471138,.0501752,.1715726,.1698503,.0639273,.0621431,.2157704,.2069077,.1309826,.1215179,.1169273,.1217253,.0551115,.0583686,.285982,.2803495,.0711311,.0694489,.0851035,.0827027,.0864425,.0835323,.0876103,.0853979,.0536779,.0542291,.0738894,.0728332,.0826266,.080431,.0782796,.075863,1076217,1339777,1429488,1958176,993416,1108352,1306057,1881952
11304,"Washington DC",4632415,11,"District of Columbia","DC",.1257855,.1185244,.1353107,.130942,.1853221,.1776069,.2530822,.2483122,.1759589,.1727829,.2592196,.2604234,.0301217,.034075,.1825943,.1829798,.0634684,.0620818,.0705764,.06966,.0626835,.0623947,.0459571,.0462453,.0520447,.0515314,.062961,.0618776,.0649867,.0638064,.0485967,.0474717,1761982,2219434,2673960,4979161,1752367,1960969,2313178,4831982
11600,"Detroit",5327827,26,"Michigan","MI",.059478,.0525077,.2284921,.2168584,.2840936,.2698627,.386188,.3700008,.1347382,.119939,.2296136,.2223927,.3078941,.2985451,.2751279,.2699142,.048036,.0469657,.0556075,.0536732,.0584009,.0557179,.0613408,.0591854,.0346485,.0350047,.0507777,.0499045,.0516511,.0496931,.0585847,.056303,2497223,2616468,2950031,3366514,2151639,2258984,2937117,3338106
12200,"Grand Rapids",1286045,26,"Michigan","MI",.1210329,.1216543,.4943834,.478782,.4964091,.4800129,.1014477,.0981981,.1159155,.1183244,.1820418,.1806425,.2697223,.2654215,.4545586,.4427004,.1094053,.1055675,.1096396,.1062465,.1184376,.1138983,.1336713,.1283447,.0786608,.0777426,.0990063,.0969485,.1071442,.1039993,.1433999,.1395962,561222,717866,859818,614342,524466,733615,847259,586599
12501,"Dayton",1179009,39,"Ohio","OH",.0697634,.0689043,.0713219,.0705515,.1204787,.1157298,.3689868,.3533387,.0785461,.0799068,.0890699,.0902715,-.1228899,-.115281,.2139288,.2105188,.0947684,.0919688,.1030234,.0987145,.1105356,.1056799,.180718,.1753747,.0719987,.0716153,.0888528,.086345,.1118641,.1085781,.1465324,.1411061,582226,731162,710292,496856,531547,703116,693250,466087
12701,"Cincinnati",1954800,39,"Ohio","OH",.2154307,.2144198,.2334866,.2266837,.3280737,.315577,.3632224,.3500524,.2672139,.2719966,.1980654,.1989155,.1325101,.1337811,.3302569,.3248741,.0781985,.0760679,.0915815,.0881177,.1020842,.0973188,.1111255,.1071784,.058724,.0586754,.076659,.0753676,.0882241,.0848245,.1057218,.1020214,887372,1134697,1190334,1151630,841265,1049067,1156705,1120071
13101,"Louisville",1100767,21,"Kentucky","KY",.1073904,.1186139,.0092006,.0176066,.3501512,.3389195,.2942975,.2844827,.2444156,.2570515,.1474189,.1561588,.2685979,.2683992,.2909684,.2884472,.0977843,.0952513,.1049662,.1007226,.1171271,.1126548,.1323439,.126908,.0702449,.0702139,.0940716,.0921344,.1099064,.1065048,.1420004,.1377117,594123,679209,688637,603152,567949,631797,658396,576453
13501,"Toledo",834343,39,"Ohio","OH",.1589955,.1546629,.2398358,.2316026,.2722203,.2620707,.46473,.4463406,.0377407,.0327158,.1209195,.1183256,.3333708,.3255963,.1829751,.1799969,.1216591,.1191665,.1285289,.1232696,.1417394,.1359598,.1826885,.1770319,.0926564,.0918935,.1089903,.1067734,.1211813,.1180472,.1614365,.1572288,389280,480862,519752,403537,338824,463205,536163,388175
13600,"South Bend",657906,18,"Indiana","IN",.1212517,.1246649,-.0987348,-.0925221,.5093207,.4886517,.3657021,.3515603,.0534984,.0580362,-.0863376,-.0807817,.1914739,.1879277,.2695461,.2631362,.1249483,.1220691,.1401468,.1353592,.1530088,.1466392,.2051916,.1998637,.0908315,.0906538,.1149712,.1123085,.1445054,.1402642,.191777,.1871218,345218,367376,397457,273344,304535,385091,394863,255727
14200,"Indianapolis",1507346,18,"Indiana","IN",-.0122641,-.0075211,.1183767,.1139972,.3830316,.3672638,.1331889,.1302492,.2303373,.2291646,.1405951,.1394258,.0996821,.0994258,.183251,.1838585,.0880897,.0857656,.1001499,.0970192,.1071793,.1025935,.1238365,.1180398,.0659465,.0657756,.0872101,.0856087,.0930161,.0897312,.1089003,.1045964,721734,859285,947266,1014922,658074,779964,924266,991654
14900,"Gary",675971,18,"Indiana","IN",.223614,.2083778,.2517958,.2382908,.1418482,.1319119,.4147168,.3919018,.2640569,.2372044,.1424416,.1284935,.0082062,-.0021124,.4163657,.4020368,.13076,.1282146,.1527104,.1471905,.1469704,.1409211,.1861046,.1810871,.0861972,.0858403,.1227334,.1206668,.1284371,.1254683,.1678097,.1645417,330194,344265,443367,359320,252981,329804,468357,342510
15000,"Canton",700866,39,"Ohio","OH",-.0577964,-.0512675,.2339873,.2234349,.3489105,.3330755,.0068987,.0092119,-.0265683,-.0223598,.0682675,.0680427,.5405495,.5267276,.3120251,.3072406,.1222522,.1170918,.1350451,.1290284,.1369749,.1305096,.2555281,.2482198,.095789,.0939372,.1142355,.1112456,.1431939,.1403645,.2151136,.2097692,401567,473543,422465,217805,353408,502147,409505,200645
15200,"Cleveland",2661167,39,"Ohio","OH",.0589928,.0636778,.142444,.1414908,.378615,.3637639,.3536014,.339508,.1399544,.1415436,.2279902,.2275811,.356216,.3494245,.3302484,.3238499,.0680351,.0664644,.0823679,.0793645,.0886387,.0846918,.0958489,.0917822,.0523137,.0522973,.0654758,.0639483,.0793723,.0766519,.0925826,.0887995,1358591,1652473,1551865,1254784,1228103,1513667,1484002,1196345
15900,"Columbus",1663807,39,"Ohio","OH",.123511,.1230305,.2735841,.2655635,.4109826,.3966453,.2443638,.234286,.1300011,.1349003,.1914322,.1945925,.1799112,.1811571,.2130926,.215146,.0909126,.0890324,.0929369,.0898128,.1067352,.1031258,.1334011,.1288309,.0627594,.0626746,.0835042,.0818449,.0975861,.0952024,.1165255,.1128647,779513,1049924,1031954,922150,765297,951481,978977,906321
16300,"Pittsburgh",2561364,42,"Pennsylvania","PA",-.0787956,-.0734238,.2818449,.2696086,.3258607,.3118542,.1290993,.1256872,-.018501,-.0141429,.1623955,.1601552,.3080033,.3009576,.2946787,.2929947,.072103,.0696594,.0713833,.0679823,.0840005,.0800347,.1024764,.0989289,.0532522,.0528924,.0643937,.0622813,.074971,.0724587,.1013957,.0982623,1202648,1464763,1633194,1342275,1123180,1434988,1563858,1263723
16400,"Youngstown",809682,39,"Ohio","OH",-.0095047,-.0046867,.098346,.0966598,.243948,.2327927,.6899171,.6703042,.1068909,.1072467,.1218856,.1201975,.2101651,.2042713,.091829,.0938355,.1159009,.1119417,.1267083,.1209972,.1307264,.1238734,.2156137,.211817,.0813163,.080554,.1043766,.1015922,.1255004,.1203818,.18968,.1846686,463131,512998,475817,247423,403822,527600,461303,225778
16500,"Erie",659098,42,"Pennsylvania","PA",.0583095,.0547347,.0161135,.0152618,.2697417,.2598096,-.272892,-.2667953,-.1114259,-.1105556,-.0178311,-.0175257,.1101624,.1066978,.2672855,.2612182,.1259223,.1215423,.1372491,.1315574,.1727167,.1668951,.25078,.2450737,.0998711,.0986623,.116363,.1128833,.153098,.1482876,.2419007,.2365824,351681,389725,400907,207193,332617,422286,387411,187737
17700,"Syracuse",1080612,36,"New York","NY",.2175127,.2082597,.4513761,.433353,.1365753,.1310611,.0543908,.0532175,.2875634,.2840779,.1512897,.1521951,.1015289,.1012296,.2010367,.198257,.1211404,.1178453,.1175372,.1135009,.1414584,.1352268,.1572083,.1515919,.0891191,.0883219,.1023126,.0997945,.1273631,.1233513,.148092,.1433594,505463,611068,655416,506241,491350,596360,633882,477950
18000,"Buffalo",2369699,36,"New York","NY",.0514573,.0483932,.2574254,.2471484,.2249378,.2158477,.3652669,.3508809,.1754228,.1717278,.1653188,.1629249,.2273691,.2231393,.4160001,.4056434,.0818091,.0797403,.0817432,.0783766,.0943351,.0904948,.104398,.1006858,.0602231,.0596157,.0717018,.0700435,.0869335,.0840892,.0935118,.0905784,1080102,1305631,1497550,1229178,1001287,1244809,1454968,1152176
18600,"Albany",1061509,36,"New York","NY",.1543075,.1434286,.1375442,.1324804,.249096,.2381355,.3453109,.3316962,.1785438,.177393,.1516516,.1540024,.1594166,.1610169,.3081819,.3028376,.1261792,.1230033,.1306392,.125655,.1245731,.1191567,.1438228,.1405481,.0877775,.0869857,.1072653,.1049514,.119051,.1155499,.1292604,.1254816,462668,605402,688887,671128,466011,570106,671121,633662
18800,"Scranton",857487,42,"Pennsylvania","PA",.3369358,.316929,.1955201,.1831325,.1858903,.177816,.2372659,.2272379,.1140455,.1015083,.0280053,.0207896,.1824463,.176378,.1363585,.132282,.1120219,.1087615,.1290108,.1242534,.1263668,.1203596,.1729416,.1675113,.0776756,.0762269,.0977661,.0957099,.111494,.1079295,.1437967,.1395409,461529,525141,572631,369696,444351,559568,556549,347404
19000,"Allentown",637958,42,"Pennsylvania","PA",.4049625,.3708638,.3753369,.3538899,.0756128,.0661787,.0222342,.0142563,-.0311594,-.0483198,-.0145593,-.0174044,-.0208128,-.0207334,.1038651,.1022247,.1356232,.1322956,.1453518,.1401629,.1393932,.1345772,.2068269,.2017349,.1023992,.0996417,.1224532,.1193007,.1396949,.1359031,.1615949,.1566131,301813,381078,460256,413032,279632,394338,453849,396654
19100,"Reading",1114959,42,"Pennsylvania","PA",.0844221,.0690264,.1529326,.1437018,.249091,.2400131,.4006094,.383327,.1104725,.0963514,.1166431,.1110649,.0112105,.0130291,.0621588,.0605391,.1108763,.1070197,.1099395,.105695,.1097834,.1055387,.1466258,.1417537,.0787659,.0772701,.0923028,.0897598,.1042754,.1008563,.1435945,.1390336,495458,659665,815284,569422,460288,714699,806814,534730
19200,"Harrisburg",1051424,42,"Pennsylvania","PA",.0362972,.031604,.3230288,.3082114,.176755,.1674388,.1141792,.1050943,.0629592,.0605554,.1118898,.1098768,.1827354,.179225,.1054918,.1019181,.112574,.1088687,.1081314,.1043551,.122861,.1181096,.1503565,.1456138,.0783093,.0772416,.1006671,.0979923,.1052757,.1017416,.1445011,.1409966,466765,665035,824898,626949,442895,687981,810658,585702
19300,"Poughkeepsie",873232,36,"New York","NY",.0356262,.0265945,.1646242,.1561635,.3925645,.3785497,.5359806,.519783,.22747,.2203996,.1868535,.1825501,.1225909,.1201194,.3589106,.3528395,.1333709,.1300837,.1496278,.1452685,.1496463,.1458599,.1342427,.1311902,.0990165,.0980136,.1263697,.1243431,.1283275,.1257324,.1346954,.131594,369200,442298,547783,651132,351430,414575,545282,638466
19400,"New York City",1.18e+07,36,"New York","NY",.2161583,.2018402,.1569242,.1366925,.3018028,.2864446,.1819611,.1637172,.1993695,.1897315,.1860586,.1752696,.1817024,.1702772,.1255455,.1156301,.0366371,.0384095,.0443746,.0459421,.0465299,.0476708,.0463336,.0474738,.0330745,.0330578,.0401134,.0401873,.045084,.0450381,.0386407,.038481,6612793,5630847,4709702,6413203,6308776,4837507,4328799,6254430
19500,"Toms River",1126217,34,"New Jersey","NJ",.3225971,.3046618,.0569331,.0519558,.5885523,.5654107,.4116072,.3959236,.4665906,.4506125,.1916037,.1838825,.2779142,.2673551,.0546909,.0529309,.1140165,.1105766,.1378661,.1335598,.1219442,.1183218,.1208066,.1176337,.0870406,.0855409,.1076064,.1057609,.1061615,.1035729,.0942387,.0916099,408364,511672,696184,1113792,366638,449423,662219,1087148
19600,"Newark",5822286,34,"New Jersey","NJ",.050649,.0257701,.1820782,.1637095,.3069213,.2878139,.2260706,.2106451,.1850662,.1683503,.2007311,.1913242,.1248744,.1214151,.196002,.1962352,.0508806,.0519385,.058445,.0591376,.0632115,.0633389,.0534378,.055205,.0472397,.0466103,.0569476,.0563718,.057723,.0570272,.0476407,.0472929,2448746,2653991,2931033,5051641,2356452,2445806,2725346,4968242
19700,"Philadelphia",5602247,42,"Pennsylvania","PA",.1523065,.1384017,.2742226,.2601304,.218125,.2050873,.2494392,.236062,.0774001,.0663205,.1140807,.1108921,.2068343,.2010648,.23011,.2238519,.0523388,.0515877,.0585213,.0567911,.0599656,.057787,.060418,.0587227,.0384121,.0381825,.0497211,.0486579,.0505205,.0489418,.0569397,.055068,2412405,2912742,3112583,3989331,2273525,2541922,2912058,3831189
20100,"Portland",690459,23,"Maine","ME",.3134933,.2967882,.3207943,.3066001,.1667396,.1604547,.4690246,.449672,.1087373,.1045065,.1579573,.1510064,.0495217,.0482577,.3368289,.3242901,.1361713,.1318767,.1594039,.1533212,.1518665,.1453533,.2194221,.2125657,.1048452,.1029502,.1203739,.1166578,.1513217,.1477079,.165208,.1601888,390002,464499,475355,329049,372545,456967,448691,303534
20401,"Providence",1582997,44,"Rhode Island","RI",.219852,.2104531,.1391296,.133418,.1587069,.1527828,.338995,.325171,.0837488,.0776611,.2695262,.2599435,.1868583,.1812692,.1718032,.1662025,.1004779,.097543,.094827,.0912101,.1162701,.1117007,.1179042,.1138764,.0786295,.0769129,.0855047,.0835282,.0844459,.081605,.126173,.1222183,715277,845164,971966,950486,651491,817530,934320,910626
20500,"Boston",4974945,25,"Massachusetts","MA",.2504525,.2314555,.3441982,.328528,.2735043,.2585246,.2716283,.2588609,.1638639,.1538352,.2323067,.2285756,.179741,.178201,.2296098,.2260189,.0606078,.0602125,.0638307,.0621426,.0671298,.0652883,.0576292,.0559962,.0499136,.0490164,.0578099,.056325,.0610578,.0590611,.0596285,.057433,1827927,2328458,2807950,4231746,1771648,2160242,2632419,4095060
20600,"Manchester",1193391,33,"New Hampshire","NH",.1128624,.1090919,.1568126,.1498615,.1909402,.182265,.4327117,.4129317,.1835006,.1815851,.227426,.2234302,.2202621,.215421,.3205197,.3161781,.1146954,.1107424,.1208332,.1160785,.1243549,.1196103,.1310783,.126401,.0868117,.0848062,.0993904,.0966242,.1068081,.1036544,.1159692,.1122371,515093,725995,893840,943322,489970,712232,892865,926377
20800,"Springfield",680014,25,"Massachusetts","MA",.2630254,.2493867,.2584322,.2474483,.644609,.6163364,.3887852,.3734131,.2335593,.2177601,.1548731,.1527814,.4844174,.4726098,-.1555411,-.1428535,.1426405,.1403506,.1672617,.1622431,.1478327,.142658,.1977803,.1914818,.1148524,.112691,.1335523,.1312253,.1531782,.1495117,.1574314,.1524677,304577,379641,427981,358312,280785,363943,411026,328353
20901,"Bridgeport",3405565,9,"Connecticut","CT",.2493844,.2320617,.2581054,.2450524,.4179316,.4007327,.1871404,.178328,.1071639,.0919731,.1833754,.1763025,.227806,.2207141,.1671442,.1643038,.0773799,.0760534,.0786123,.0765541,.0731587,.0710929,.0639134,.0615756,.0578356,.0567719,.0619183,.0605427,.0641271,.0622811,.0599103,.0574351,1241192,1637115,2057702,3020021,1194223,1502402,1948420,2891359
