cz,czname,pop2000,fips,statename,stateabbrv,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
9701,"Columbus",303656,13,"Georgia","GA",80.32193,81.56789,82.84266,83.59237,83.34406,83.92048,85.97055,86.40681,73.71345,75.17681,78.0362,78.88105,80.61989,81.2697,83.75121,84.28773,.3425799,.349469,.4262556,.4196985,.5256399,.5141845,.6341553,.611838,.2706541,.2903588,.3510182,.3575912,.4599605,.4557683,.5882495,.5680289,260636,189315,158020,115281,206108,184848,148189,107676
9702,"Americus",65826,13,"Georgia","GA",81.93705,83.35759,82.47987,83.36211,84.7636,85.33598,86.65977,87.25523,74.39063,75.89358,78.18373,79.05415,83.05849,83.58327,85.63976,86.17413,.7327303,.721876,.9668074,.9360293,1.218929,1.180115,1.660721,1.564505,.5623171,.5816799,.8107674,.8077326,1.103858,1.078095,1.225067,1.158478,51205,29445,22389,13516,42010,30471,21235,11903
9800,"Auburn",150911,1,"Alabama","AL",81.58038,83.02792,82.82406,83.72448,83.80508,84.52338,86.91821,87.27575,74.59444,76.14642,78.44491,79.37452,82.63629,83.25833,86.04504,86.35273,.573568,.5625778,.7666445,.7388959,.8662259,.8315837,.9835916,.943537,.4513427,.4732974,.6083823,.6075227,.8341068,.8051825,.76424,.7340767,95789,72077,60117,56604,80156,69597,59278,52838
9900,"Tallahassee",426634,12,"Florida","FL",81.45655,82.4158,84.35358,84.95025,86.65919,87.03141,87.47596,87.70529,75.09391,76.14548,79.89083,80.5676,82.39834,82.84891,85.11694,85.40574,.3360902,.3354135,.365841,.3541356,.3879589,.3711808,.4613219,.4470329,.2576364,.2705605,.3482419,.3481342,.374958,.3685548,.439594,.4262509,275528,276009,240443,210741,254105,234181,225302,194290
10000,"Panama City",172606,12,"Florida","FL",81.52733,82.03187,83.54033,83.9352,85.66861,85.80286,85.99773,86.22504,75.42764,76.07883,78.90931,79.36399,82.26409,82.61599,84.23035,84.51351,.44036,.4257918,.5541052,.5368433,.6041132,.5898395,.8334734,.8068287,.3594773,.3614625,.4377138,.4310453,.5483652,.5342578,.6871871,.6692656,143409,121884,111017,83423,134991,122696,110539,79103
10101,"Bainbridge",43992,13,"Georgia","GA",82.07384,83.15317,82.15779,82.88688,83.19398,83.83285,86.82422,87.24202,72.89359,74.14679,79.23837,79.95296,82.13303,82.71936,81.91867,82.36697,.861279,.8401092,1.191307,1.153509,1.510975,1.456916,1.825902,1.741033,.5531614,.5650386,1.041079,1.023486,1.23032,1.198754,1.745083,1.719177,39828,21927,17577,11117,32464,23026,16351,9947
10102,"Thomasville",66396,13,"Georgia","GA",81.95291,83.11979,83.06161,83.78921,86.84621,87.29875,85.01629,85.44187,75.91494,77.23423,78.78633,79.46685,83.62584,84.14311,86.72928,87.02102,.7103544,.6909273,.8341502,.8009627,1.047664,.9937918,1.825476,1.775637,.5776744,.5761254,.7387421,.7327948,1.006165,.9762923,1.058333,1.011913,60897,42641,33038,23213,50356,41495,30453,21104
10200,"Albany",181765,13,"Georgia","GA",81.08322,82.53177,83.3792,84.37168,85.63734,86.14511,87.85048,88.11638,74.96922,76.64134,78.42545,79.50887,80.42178,81.03123,84.50738,84.90958,.471251,.4826265,.6020741,.5826934,.6999037,.679047,.7737829,.7550698,.380446,.4046096,.5016229,.4968384,.6126795,.6036794,.7879654,.7694645,152461,95694,82656,63363,116126,93816,80112,57370
10301,"Eufaula",61458,13,"Georgia","GA",82.71228,84.14659,83.92833,84.80925,86.37993,86.92148,88.99015,89.25775,75.16616,76.85382,77.90654,78.89194,80.16776,80.78728,84.34682,84.74865,.6995171,.6844547,1.049324,1.007511,.9693197,.9226828,1.206816,1.162734,.5987346,.6158134,.8119775,.8045457,1.038965,1.024476,1.369638,1.333956,57156,28679,21027,14306,45152,30648,20476,12767
10302,"Dothan",223605,1,"Alabama","AL",81.73338,82.57586,83.56039,84.04943,85.72738,86.05456,86.10725,86.46198,74.87668,75.88679,79.0864,79.67083,81.0386,81.49175,83.70767,84.14697,.3896914,.3822052,.4650303,.4504874,.5480337,.5283438,.649173,.6207485,.3033159,.3141874,.4140983,.4090824,.4727652,.4692775,.6676383,.6463405,180789,141648,132272,93605,151265,142406,134310,86641
10400,"Meridian",157091,28,"Mississippi","MS",81.06267,82.34609,82.56839,83.36237,86.49365,86.98124,86.20299,86.31349,74.55371,76.05142,78.88155,79.69398,81.55325,82.16698,84.20626,84.38985,.4577379,.4558023,.6041414,.5879351,.6970653,.6585259,1.14388,1.120928,.3648221,.3778287,.5095044,.5068304,.6073183,.5929253,.8848442,.8707733,132450,89119,72799,45962,110400,91894,71534,42024
10501,"Columbus",95083,28,"Mississippi","MS",81.89581,83.23396,84.10517,84.77104,84.99313,85.64647,88.66914,88.87571,75.32359,76.92342,80.04146,80.79884,82.31988,83.00624,84.56767,85.00032,.6972024,.6863896,.8473417,.8235053,1.087615,1.035739,1.123777,1.089888,.5522755,.5788717,.7216366,.7098907,.841122,.8129464,1.075033,1.03723,77393,46456,39675,25940,60426,51664,39944,23957
10502,"Starkville",105093,28,"Mississippi","MS",82.15919,83.39944,84.49999,85.30482,86.85442,87.28868,88.89389,89.22336,76.6074,78.04477,79.92564,80.7794,81.85503,82.37597,83.8581,84.39494,.6698731,.6592548,.7521633,.7181401,.9349247,.8992687,.9151379,.8576776,.5525544,.5608828,.7215112,.7092834,.9325601,.9152232,1.001675,.9618062,75955,48365,40857,28751,61101,52550,39761,25932
10600,"Jasper",161169,1,"Alabama","AL",81.15194,81.71111,84.30495,84.73026,84.39627,84.82561,84.98631,85.29221,74.09421,74.73044,78.73992,79.24448,81.95756,82.38213,83.02433,83.35796,.4093198,.3926952,.495901,.4751908,.6703215,.6451543,1.059953,1.019909,.3030629,.3125621,.4086743,.4051982,.5622989,.5477514,.944033,.9174446,137204,109227,89000,43094,127488,117358,88017,39764
10700,"Birmingham",1038182,1,"Alabama","AL",80.76412,81.94321,83.86316,84.56648,85.3911,85.8851,87.23501,87.52392,74.14588,75.46454,78.54588,79.33807,81.56477,82.11954,84.46419,84.80475,.1979102,.2117656,.2226945,.2208325,.2628078,.2562671,.2756809,.2671581,.1621213,.18542,.1986107,.2029094,.2440821,.2430087,.2670926,.2634104,699632,672067,615105,626946,581478,597363,586973,599915
10801,"Tuscaloosa",261112,1,"Alabama","AL",80.77289,82.19824,83.62883,84.44373,85.34611,85.90722,86.63351,86.95211,74.08396,75.69408,79.30977,80.18292,82.19647,82.79011,84.07683,84.46868,.3829077,.3866287,.4872443,.46675,.565839,.5409214,.6577332,.6325816,.2999383,.3257114,.4155084,.411963,.4917771,.4837566,.6756818,.6545665,199267,140662,126295,96895,160292,140046,126590,91964
10802,"Demopolis",63233,1,"Alabama","AL",82.27787,83.90778,85.39664,86.39562,86.13399,86.64393,87.19209,87.53033,74.48605,76.5761,79.75295,80.9752,80.14911,80.77771,83.76176,84.19941,.8215773,.8027484,1.012767,.969152,1.248472,1.204923,1.38658,1.342429,.5786225,.6146472,.9396163,.9305205,.9952284,.9887668,1.458618,1.419288,53915,27351,21052,15487,41214,28739,23733,14267
10900,"Pensacola",623252,12,"Florida","FL",81.57373,81.96631,84.25932,84.53492,85.21368,85.48631,87.38727,87.56209,75.48397,76.12045,79.54018,80.02583,82.29513,82.67544,84.93375,85.23858,.2605141,.2564905,.2832357,.2764563,.3222781,.3128075,.3584392,.3489849,.1974107,.2025035,.2480118,.2492992,.2974941,.2950682,.310673,.3017007,460828,421049,409876,329499,412220,411085,406343,310476
11001,"Mobile",599405,1,"Alabama","AL",81.78793,82.83605,83.9051,84.51431,85.25079,85.69851,87.23244,87.57049,74.70126,75.9495,79.65229,80.33066,82.00513,82.49162,83.90407,84.31091,.2404979,.2458942,.301007,.2936822,.3350672,.3222821,.3920753,.3760942,.1965515,.2180844,.255698,.2570892,.3039327,.2997647,.3796017,.3704381,512114,377434,338431,269571,402220,379231,341481,254844
11002,"Atmore",76853,1,"Alabama","AL",83.10518,84.21832,84.40619,85.11226,85.68947,86.1297,84.99609,85.4592,74.5447,75.99644,78.68597,79.47708,80.58125,81.13482,80.92199,81.42781,.6367993,.6192278,.7624531,.7297355,.9556549,.9169232,1.515765,1.4596,.5126211,.5241039,.7374759,.7311998,.8709446,.8567824,1.22385,1.211514,64319,41467,32290,19939,51224,45276,32792,18455
11101,"Montgomery",367927,1,"Alabama","AL",80.42291,81.88158,83.34238,84.03971,85.27314,85.82697,87.07851,87.44846,73.5325,75.21214,77.81911,78.67987,80.8493,81.4725,84.07167,84.51825,.3214539,.3362709,.3944872,.3860302,.4381908,.4204778,.4456298,.4286989,.2468823,.2826999,.3249423,.3284721,.3985472,.3970883,.4278006,.4188395,282922,233522,205419,183111,227443,208901,198837,171406
11102,"Troy",80901,1,"Alabama","AL",82.00444,82.89735,83.37962,83.99379,87.70676,87.995,87.75466,88.06633,75.48639,76.51371,78.77324,79.47749,81.7181,82.16837,84.47937,84.85979,.5997645,.5818403,.7424732,.7099137,.8615423,.8220923,1.240704,1.182873,.4852738,.4911883,.6567097,.6451432,.9499638,.9289865,1.255627,1.215743,72982,50814,37706,22477,62655,54279,36476,20611
11201,"Bluefield",199334,51,"Virginia","VA",81.95265,82.40524,83.0265,83.49847,84.45535,84.93653,87.58138,87.76088,75.79907,76.30753,79.65842,80.11524,82.75456,83.18118,84.38662,84.6591,.4028705,.3931135,.5309339,.5116566,.7023223,.6708336,.8284162,.7947569,.2985471,.3014003,.4115409,.404745,.5562181,.5367959,.8434513,.815217,160679,132671,110105,51905,149498,137680,107577,48101
11202,"Welch",53037,54,"West Virginia","WV",80.92329,81.4995,83.78474,84.2019,85.4684,85.81046,83.79207,84.26353,74.76096,75.35075,78.84967,79.34328,81.89626,82.28452,88.05034,88.26199,.8267173,.7938769,1.205902,1.155262,1.470535,1.397434,3.290432,3.163743,.5910046,.5826282,1.024041,1.001356,1.405824,1.362159,2.993986,2.874397,38415,22968,19760,6540,38071,24407,20553,5825
11203,"Big Stone Gap",84011,51,"Virginia","VA",82.58919,83.01014,85.27612,85.60468,83.66492,84.06799,85.07256,85.28095,76.34579,76.84038,80.60746,81.04136,84.96626,85.2304,84.26987,84.52306,.6330265,.6087754,.771449,.7325369,1.130526,1.089947,1.539092,1.489105,.4860972,.4813606,.7466198,.7320184,.9440916,.9105925,1.319653,1.27741,63986,49850,42554,18421,61746,52398,42029,17251
11301,"Fredericksburg",241044,51,"Virginia","VA",80.41927,81.05569,83.66177,84.04807,84.63882,85.05815,87.45535,87.64358,74.49374,75.35402,78.35997,78.93506,81.3322,81.83652,84.80312,85.09526,.5131814,.504243,.5338204,.5184533,.5100164,.4906814,.4297176,.4163873,.3895026,.3934985,.4067138,.4044439,.4393612,.4309662,.4200833,.409459,112701,144859,203560,297823,96640,135993,207649,298858
11302,"Baltimore",2512431,24,"Maryland","MD",80.38963,81.55273,83.12367,83.78239,85.14365,85.58358,87.6422,87.82518,74.29727,75.59718,78.84656,79.5905,81.71736,82.22235,84.95859,85.23081,.1425899,.1819318,.1500798,.1591672,.151336,.1518862,.1499292,.1507207,.1222658,.153407,.1335775,.1459935,.1396951,.144508,.136086,.1350673,1238038,1552082,1668747,2253482,1126386,1281688,1524111,2177116
11303,"Colonial Beach",59342,51,"Virginia","VA",82.23338,83.2221,84.20683,84.86213,85.59738,86.03034,86.63443,86.94836,75.52263,76.74049,78.63608,79.38614,83.00642,83.45056,84.64679,84.98461,.6915045,.6688049,.7885021,.7585846,.8094534,.779952,1.15346,1.112107,.5599112,.566269,.6493951,.6469214,.8102459,.7944316,.8561573,.8303941,50040,42252,38988,32305,42283,41327,34940,26676
11304,"Washington DC",4632415,11,"District of Columbia","DC",82.50156,82.84777,84.07253,84.11899,85.5111,85.46607,87.89651,87.78317,77.46706,78.05418,79.64796,79.95591,82.12593,82.32707,85.85234,85.94932,.1282244,.1807909,.1300003,.1745436,.1209193,.1520611,.0894373,.1179857,.1063575,.1476916,.1236691,.1502439,.121883,.1397084,.078003,.0935612,2000594,2503105,3069262,5747037,1975014,2207767,2638073,5611257
11401,"Marquette",121919,26,"Michigan","MI",81.32442,81.72831,85.0603,85.39094,87.23494,87.54102,87.80449,88.07903,76.33314,76.81893,81.06274,81.46193,83.86037,84.22368,84.85211,85.18652,.5666323,.5501525,.633781,.6108556,.617376,.5862944,.9197665,.8705612,.4564967,.4547141,.5200521,.5075971,.6037507,.5818751,.9536015,.9225588,77488,86481,99480,52218,71169,94099,101559,47609
11402,"Marinette",114408,26,"Michigan","MI",82.13173,82.56554,85.81779,86.10116,87.44522,87.7077,87.83974,88.15612,77.2475,77.69257,80.68318,81.09435,84.68384,85.01244,83.46197,83.88342,.5465209,.5251741,.5960121,.5711122,.6379454,.6040537,1.131326,1.072233,.443101,.4374485,.4958737,.4866041,.6047397,.5875505,1.030172,1.001271,80483,91377,91364,38862,76040,105027,90006,35530
11403,"Sault Ste. Marie",57510,26,"Michigan","MI",81.89934,82.25996,83.62144,84.07647,87.22102,87.50063,87.97256,88.24335,76.10111,76.58762,82.21057,82.62195,83.18524,83.58987,86.60117,86.80619,.7784984,.7498341,.9162143,.8771385,.8991814,.8560758,1.461226,1.386199,.6398705,.6349436,.723391,.7004916,.8955504,.8696529,1.175137,1.134158,39057,39149,37176,16445,37581,41627,35247,14130
11500,"Jackson",303839,26,"Michigan","MI",80.69201,81.14967,84.04511,84.4181,85.63754,85.95898,87.13259,87.35401,75.57175,76.07549,80.05927,80.45837,82.85272,83.17096,84.20094,84.47881,.3651825,.361026,.3933867,.3806476,.4344851,.4160967,.5217219,.501236,.3264875,.3333959,.3453798,.3425943,.3912303,.3889314,.5319591,.52049,175736,203952,230899,154166,154496,208734,231364,145382
11600,"Detroit",5327827,26,"Michigan","MI",79.52182,80.50954,83.20607,83.77666,85.25513,85.70774,86.98053,87.22305,73.80329,74.83172,78.92195,79.5451,81.6787,82.19019,84.24707,84.57563,.0945065,.1193439,.1018205,.1090491,.1137679,.1151076,.1087708,.1110782,.0753399,.1080581,.0902269,.1012778,.0981034,.1042927,.1040362,.1081791,2881296,3066443,3410000,3880282,2441300,2649195,3383739,3874232
11700,"Lansing",447728,26,"Michigan","MI",80.13539,80.42923,83.60977,83.97401,86.47737,86.75951,87.7593,87.90136,75.28075,75.62344,80.0844,80.47057,82.8179,83.16735,86.21393,86.39058,.3583832,.3498181,.3642821,.354213,.3681069,.35395,.4181635,.4071848,.3002773,.3001136,.3094829,.3106276,.3309487,.3275199,.347117,.3386872,215378,284320,336838,293521,193421,257547,326628,275298
11800,"Mount Pleasant",136888,26,"Michigan","MI",81.67479,82.03948,84.35091,84.71152,86.22366,86.52841,88.99007,89.10736,75.25749,75.67255,81.01685,81.37062,82.10586,82.44763,85.62741,85.85082,.5441182,.5237007,.6117555,.5862736,.6911274,.660623,.7579067,.7274009,.4295852,.4290986,.4696601,.4614064,.643512,.6306235,.8273427,.8019101,84569,88926,83410,46951,76240,93176,79905,43127
11900,"Saginaw",540707,26,"Michigan","MI",81.22665,81.71068,84.04176,84.39353,86.32941,86.62769,87.379,87.61483,74.75529,75.30216,80.54645,80.92045,82.29897,82.67381,84.14876,84.45683,.2480471,.2442077,.2988252,.2917163,.33259,.3213518,.3960964,.3819084,.2058115,.2112489,.233705,.2388041,.2887622,.288556,.3835107,.3732188,353202,364837,371120,280676,293276,370932,365278,267675
12001,"Big Rapids",120045,26,"Michigan","MI",80.83847,81.29678,84.04575,84.47695,86.38496,86.72739,86.88401,87.17995,75.853,76.32161,80.86364,81.29513,83.55207,83.93769,85.10619,85.45184,.5283061,.5167541,.5969212,.5734227,.67276,.6415411,.9683586,.9241527,.3885691,.3899262,.4919046,.48206,.6009294,.5807959,.938746,.9032362,91294,94047,78661,38199,87239,99343,74588,34208
12002,"Ludington",52801,26,"Michigan","MI",81.86311,82.24857,84.11536,84.47835,86.18139,86.5011,88.60193,88.84047,76.66739,77.08694,80.14774,80.52581,82.89697,83.23513,87.46067,87.701,.7626011,.7340685,.8537895,.8187173,1.057929,1.017283,1.08206,1.021809,.6371694,.6295197,.7501488,.7345622,.8526802,.8302487,1.148749,1.091958,40167,40019,38502,19404,36952,42822,36800,16962
12100,"Kalamazoo",509606,26,"Michigan","MI",80.3776,80.99425,84.42774,84.83028,85.81648,86.1608,87.62222,87.8174,75.30193,75.95844,79.72858,80.18873,83.46959,83.83322,85.52531,85.77642,.2947002,.2884908,.3154976,.3032703,.3478405,.3361065,.3876851,.3762153,.24901,.2526474,.2783345,.2795102,.3046861,.3001287,.3627501,.3520392,280307,319982,353913,282865,254629,309732,343692,266285
12200,"Grand Rapids",1286045,26,"Michigan","MI",81.32148,81.78553,85.00067,85.24272,86.47792,86.75615,88.14809,88.3676,76.13092,76.62122,81.06105,81.3455,83.54438,83.8559,85.94711,86.20121,.2172194,.2086182,.2130864,.2111517,.2249503,.222682,.2491861,.24383,.1734262,.1791865,.1895058,.1935533,.2016591,.2041128,.2386862,.2338265,656104,836357,981364,708882,602767,850216,969794,676476
12301,"Traverse City",154452,26,"Michigan","MI",81.87145,82.26073,85.8438,86.14547,87.4277,87.74352,88.57449,88.83727,77.51791,77.94004,82.27251,82.62787,83.15831,83.56345,86.25739,86.57131,.5160527,.5011474,.5096877,.4856924,.5877471,.5614711,.5759512,.5429825,.4306929,.4275095,.4751873,.4667859,.5687677,.5575901,.6516137,.62304,107331,124168,127184,90475,101019,124188,116801,81778
12302,"Petoskey",83975,26,"Michigan","MI",81.43333,81.91651,84.88577,85.24615,86.4695,86.82489,88.24403,88.51332,76.685,77.17421,80.82316,81.22493,84.02538,84.40298,85.29635,85.61598,.6671709,.6465502,.7978163,.7735739,.8128416,.7683659,.8909574,.8414633,.5075729,.5036246,.5932599,.5822691,.7035412,.6806366,.8615008,.8269754,62047,68802,63084,42661,59278,69764,58570,37599
12401,"Alpena",84783,26,"Michigan","MI",82.55419,82.95918,84.28065,84.69729,86.87696,87.19565,88.28342,88.40032,76.3435,76.80182,81.16423,81.56846,83.50373,83.89691,83.25108,83.61221,.5269847,.505612,.655434,.6255915,.7414128,.705503,1.112971,1.074921,.4354625,.432958,.4974331,.4883961,.7105671,.6923234,1.12256,1.090848,72694,69612,57988,26766,67066,76602,54839,23310
12402,"Grayling",104421,26,"Michigan","MI",81.17651,81.59843,84.42952,84.80567,86.33958,86.64248,85.70594,86.01943,75.5362,75.98502,80.67786,81.11281,83.31229,83.66187,84.24242,84.59782,.4695681,.4592987,.5081078,.4847989,.6871337,.6582543,1.009815,.9659234,.3808646,.3859064,.4382869,.4308458,.6010898,.5826043,.8883535,.8541504,94771,88753,70824,33700,88964,94338,65924,30216
12501,"Dayton",1179009,39,"Ohio","OH",80.33314,81.0388,83.69144,84.20625,85.44785,85.83918,87.22379,87.52166,74.28045,75.06957,79.7571,80.31514,82.40881,82.85471,85.1038,85.45753,.1888053,.1911827,.1975174,.1961392,.2237596,.2212807,.2599008,.2506664,.1453611,.1563969,.1708438,.1825044,.1934529,.1990119,.2614385,.2561892,684367,865147,836356,593795,615434,832498,812672,553014
12502,"Washington Court House",109851,39,"Ohio","OH",80.63268,81.15538,83.10933,83.55692,83.71061,84.20765,88.1908,88.33112,74.57395,75.10323,79.89664,80.34896,82.73595,83.13689,82.93675,83.29039,.5826921,.5643135,.6332334,.6118408,.8648965,.8314289,.9107079,.8770837,.4213647,.4281047,.4913787,.4858901,.6501405,.6306649,1.11871,1.090403,80218,94329,74493,34191,74594,97523,74147,31355
12600,"Wayne",104034,18,"Indiana","IN",80.20919,80.69506,82.88165,83.36137,85.46709,85.86884,86.94403,87.27178,74.94313,75.45013,78.14307,78.67748,82.41035,82.84515,84.44799,84.80299,.5592816,.5413545,.6280997,.6021384,.7452195,.7082282,1.046052,.9940393,.467289,.4659694,.4896386,.4884538,.684276,.6626836,.8777108,.8401263,70590,75075,71798,35442,63138,76245,68446,31886
12701,"Cincinnati",1954800,39,"Ohio","OH",79.74497,80.53757,83.05814,83.56355,84.73115,85.19714,87.09631,87.35838,74.33459,75.17357,79.07811,79.61935,82.47969,82.94328,84.84911,85.17457,.1587661,.1674607,.1623689,.166969,.1831012,.1830086,.2032152,.1998254,.1276125,.144149,.1438464,.1564793,.1613687,.1645346,.2035078,.1985049,1025345,1324131,1373032,1318991,956131,1216286,1329454,1277918
12702,"Maysville",52963,21,"Kentucky","KY",81.41399,81.90351,85.98112,86.33701,86.56528,86.8431,87.28642,87.64648,76.18382,76.70199,78.60363,79.14204,81.76192,82.15949,80.4406,80.97113,.7484268,.7241425,.8851916,.8355751,1.171033,1.116159,1.940916,1.841952,.5800188,.5725603,.7416707,.7292578,1.13313,1.110278,1.583268,1.58513,46078,37810,29825,14184,43855,39864,29432,13023
12800,"Washington",134026,18,"Indiana","IN",80.68654,81.16272,83.8666,84.26395,86.90866,87.2124,86.27135,86.54561,74.90314,75.39528,79.22555,79.66747,82.86659,83.26909,83.7833,84.13674,.5522907,.534326,.5743021,.5535043,.5535173,.5238695,.8002458,.7701408,.4363138,.4392665,.4644896,.4607868,.5622329,.5431867,.7999956,.7738562,75061,102006,119068,71255,69535,109285,120892,66886
12901,"Lexington",525970,21,"Kentucky","KY",79.84791,80.50108,82.83452,83.38539,85.39385,85.72483,87.31913,87.5902,74.91869,75.5723,79.6272,80.16454,82.22284,82.59865,85.15014,85.45564,.2718635,.274402,.3293559,.3211544,.3476361,.3368382,.3782286,.3639013,.2382067,.2440688,.2755802,.2711746,.3260715,.3235564,.3674589,.3546484,314870,356143,355258,314219,291487,320741,339752,301571
12902,"Mount Sterling",40195,21,"Kentucky","KY",82.01465,82.5079,86.58115,86.88148,85.66912,86.04768,85.87792,86.15607,75.16261,75.70292,80.29341,80.76159,82.83057,83.20932,87.48532,87.64589,.9274855,.8895348,.9976434,.9439483,1.550859,1.476862,2.537585,2.450486,.6254653,.6234831,.9180906,.8938363,1.292807,1.249813,1.559218,1.491282,34744,29355,22746,9753,33140,30449,22704,9075
12903,"Danville",86667,21,"Kentucky","KY",81.96563,82.46952,84.37067,84.79847,84.92873,85.29485,86.597,86.97588,75.92521,76.48068,79.3531,79.85933,81.43415,81.86001,84.66415,85.02102,.628566,.6040013,.7026007,.66947,.9002271,.8674286,1.280134,1.223338,.4602642,.4586977,.5926511,.5832851,.7663702,.7531154,1.089804,1.049098,68399,67803,58945,30131,65082,67317,56836,27111
13000,"Elizabethtown",176597,21,"Kentucky","KY",80.72523,81.13733,82.86952,83.31549,84.42819,84.82735,87.31643,87.11773,75.013,75.56108,79.73093,80.19842,82.27895,82.70164,83.4655,83.79237,.4338351,.4192432,.5206438,.5017827,.6469842,.6265483,.8196377,.8291349,.3485771,.3534255,.4139938,.4090921,.5669079,.5515713,.8926041,.8685371,128652,129674,123210,62384,118843,137413,122554,57217
13101,"Louisville",1100767,21,"Kentucky","KY",80.16456,80.8892,83.27262,83.79016,85.34631,85.73573,87.3377,87.63631,74.12844,74.92339,79.17466,79.73203,81.8253,82.27792,84.56003,84.91839,.2021267,.2001318,.2084668,.205119,.2359091,.23237,.2689265,.2620126,.1460419,.1574443,.1732411,.1819341,.2238792,.2295364,.2605214,.2551743,688974,797132,798727,694263,646577,737112,759867,664676
13102,"Madison",49985,18,"Indiana","IN",80.02604,80.39684,80.69702,81.18229,85.13071,85.57255,86.08119,86.5002,74.15244,74.57599,77.4068,77.83981,80.5681,81.06617,85.53743,85.88828,.8274943,.8019237,.945654,.9266658,1.197862,1.141869,1.594095,1.510612,.6023958,.6027683,.6920804,.6854235,.9596209,.9377542,1.479444,1.410688,35273,35980,34427,18086,32884,38065,34633,16588
13103,"Bardstown",66605,21,"Kentucky","KY",82.76456,83.2654,85.50336,85.9241,83.96947,84.47852,87.80793,88.00974,75.29408,75.87415,79.71164,80.24363,83.10851,83.52081,85.21216,85.47365,.731239,.7024894,.7677398,.7260704,1.131845,1.086826,1.312588,1.260514,.5196795,.514016,.6930513,.6803364,.9149735,.882559,1.265371,1.217586,48634,55428,48626,23044,47428,57772,48518,22057
13200,"Owensboro",177640,21,"Kentucky","KY",81.00621,81.49511,84.11734,84.53391,85.8747,86.20158,85.12685,85.6022,75.07897,75.60845,79.79092,80.2515,81.93279,82.31686,81.45329,81.95529,.4239857,.4085284,.5119197,.4924971,.6308797,.6077036,1.045489,1.001658,.3470647,.3538855,.421656,.4183299,.5229836,.5117416,.8513729,.841342,125453,122692,120675,61152,112518,130043,121318,55996
13300,"Findlay",246623,39,"Ohio","OH",81.01378,81.34929,84.41006,84.71651,85.64763,85.97556,86.56019,86.84451,75.3732,75.71013,80.72862,81.06996,82.01428,82.3865,85.05384,85.33453,.4366226,.4257659,.4264855,.4136433,.5121418,.4906158,.7845029,.7552525,.3374633,.3376214,.3394904,.3356876,.4391341,.4334549,.6473339,.6255545,140611,196594,175635,88716,125406,211187,177068,82248
13400,"Lima",260393,39,"Ohio","OH",80.50181,80.9507,84.43137,84.87617,85.99611,86.37288,86.47001,86.78933,74.78726,75.28369,79.93216,80.43148,82.29183,82.71854,84.99472,85.31826,.4245624,.4159093,.407073,.3939251,.4770895,.4559531,.7574067,.7282016,.3221422,.3227064,.352064,.3536596,.4377823,.4306058,.6540715,.6300277,142719,200093,199022,102961,125391,219212,200081,93703
13501,"Toledo",834343,39,"Ohio","OH",80.22565,80.78704,83.7799,84.1917,85.50005,85.86024,87.25015,87.50893,74.34052,74.94853,79.1826,79.62952,82.23288,82.61938,83.86191,84.19014,.2396591,.2361506,.2439694,.2398385,.2738641,.2658284,.3062318,.2945126,.1843376,.1897874,.2029474,.2065362,.2482313,.2482509,.2945132,.2888817,453222,565578,599801,469550,389587,544029,617011,451763
13502,"Defiance",98981,39,"Ohio","OH",81.74589,81.95886,84.28932,84.64142,85.84743,86.1417,89.13422,89.2701,74.7508,75.02023,80.3093,80.69059,82.21871,82.56358,85.32602,85.5414,.6719279,.6473525,.6570953,.6281241,.7468166,.7126322,.8162197,.7765361,.5229822,.5207829,.5259526,.5220211,.6584703,.6444162,.9504206,.9173831,57124,79366,76899,35602,49613,89448,79264,31737
13600,"South Bend",657906,18,"Indiana","IN",80.53471,81.14338,83.11472,83.57711,85.47799,85.8505,87.17193,87.43715,74.56373,75.22743,79.46059,79.92852,82.63384,83.02351,84.68076,84.98907,.2624107,.2581266,.2735488,.2650307,.3016309,.2889823,.3990778,.3850239,.2072923,.2147973,.2336552,.2367083,.2688333,.2642558,.3440213,.3348371,403732,434415,462210,324457,351307,449217,461656,302433
13700,"Concord",372184,18,"Indiana","IN",80.77472,81.25543,83.90889,84.2615,85.97643,86.27108,87.60842,87.85751,74.83367,75.31747,80.00539,80.37469,81.49207,81.86279,83.93343,84.25579,.3569211,.3492637,.3915829,.3795229,.3907996,.3795904,.5129741,.4879775,.2755635,.2790715,.3066247,.3052085,.3650969,.3625378,.5054501,.4911887,213146,259077,261534,141777,202595,286499,257964,130568
